date,cpi_yoy,cpi_mom
1/1/2005,0.0924,0.0055
2/1/2005,0.0869,0.0002
3/1/2005,0.0794,0.0026
4/1/2005,0.0818,0.0071
5/1/2005,0.087,0.0092
6/1/2005,0.0895,0.001
7/1/2005,0.0782,-0.0057
8/1/2005,0.0791,0.0085
9/1/2005,0.0799,0.0102
10/1/2005,0.0752,0.0179
11/1/2005,0.0761,0.014
12/1/2005,0.0772,0.0042
1/1/2006,0.0793,0.0075
2/1/2006,0.0815,0.0022
3/1/2006,0.0816,0.0027
4/1/2006,0.0883,0.0134
5/1/2006,0.0986,0.0188
6/1/2006,0.1012,0.0034
7/1/2006,0.1169,0.0085
8/1/2006,0.1026,-0.0044
9/1/2006,0.1055,0.0129
10/1/2006,0.0998,0.0127
11/1/2006,0.0986,0.0129
12/1/2006,0.0965,0.0023
1/1/2007,0.0993,0.01
2/1/2007,0.1016,0.0043
3/1/2007,0.1086,0.0092
4/1/2007,0.1072,0.0121
5/1/2007,0.0923,0.005
6/1/2007,0.086,-0.0024
7/1/2007,0.069,-0.0073
8/1/2007,0.0739,0.0002
9/1/2007,0.0712,0.0103
10/1/2007,0.077,0.0181
11/1/2007,0.084,0.0195
12/1/2007,0.0839,0.0022
1/1/2008,0.0817,0.008
2/1/2008,0.091,0.0129
3/1/2008,0.0915,0.0096
4/1/2008,0.0966,0.0168
5/1/2008,0.1074,0.0149
6/1/2008,0.1061,-0.0036
7/1/2008,0.1206,0.0058
8/1/2008,0.1177,-0.0024
9/1/2008,0.1113,0.0045
10/1/2008,0.1199,0.026
11/1/2008,0.1076,0.0083
12/1/2008,0.1006,-0.0041
1/1/2009,0.095,0.0029
2/1/2009,0.0773,-0.0034
3/1/2009,0.0789,0.011
4/1/2009,0.0613,0.0002
5/1/2009,0.0524,0.0064
6/1/2009,0.0573,0.0011
7/1/2009,0.0539,0.0025
8/1/2009,0.0533,-0.003
9/1/2009,0.0527,0.0039
10/1/2009,0.0508,0.0241
11/1/2009,0.0553,0.0127
12/1/2009,0.0653,0.0053
1/1/2010,0.0819,0.0185
2/1/2010,0.1013,0.0145
3/1/2010,0.0956,0.0058
4/1/2010,0.1019,0.006
5/1/2010,0.091,-0.0036
6/1/2010,0.0837,-0.0056
7/1/2010,0.0758,-0.0048
8/1/2010,0.0833,0.004
9/1/2010,0.0924,0.0123
10/1/2010,0.0862,0.0183
11/1/2010,0.0729,0.0003
12/1/2010,0.064,-0.003
1/1/2011,0.049,0.0041
2/1/2011,0.0416,0.0073
3/1/2011,0.0399,0.0042
4/1/2011,0.0426,0.0087
5/1/2011,0.0717,0.0242
6/1/2011,0.0624,-0.0143
7/1/2011,0.0631,-0.0041
8/1/2011,0.0665,0.0073
9/1/2011,0.0615,0.0075
10/1/2011,0.0766,0.0327
11/1/2011,0.0948,0.0173
12/1/2011,0.1045,0.0058
1/1/2012,0.1061,0.0056
2/1/2012,0.1043,0.0056
3/1/2012,0.1043,0.0041
4/1/2012,0.1114,0.0152
5/1/2012,0.0828,-0.0021
6/1/2012,0.0887,-0.009
7/1/2012,0.0907,-0.0023
8/1/2012,0.0888,0.0056
9/1/2012,0.0919,0.0103
10/1/2012,0.078,0.0196
11/1/2012,0.0637,0.0038
12/1/2012,0.0616,0.0038
1/1/2013,0.0731,0.0165
2/1/2013,0.0703,0.003
3/1/2013,0.0729,0.0066
4/1/2013,0.0613,0.0042
5/1/2013,0.0651,0.0015
6/1/2013,0.083,0.0076
7/1/2013,0.0888,0.0031
8/1/2013,0.0817,-0.001
9/1/2013,0.0788,0.0077
10/1/2013,0.0771,0.018
11/1/2013,0.0732,0.0001
12/1/2013,0.074,0.0046
1/1/2014,0.0775,0.0198
2/1/2014,0.0789,0.0043
3/1/2014,0.0839,0.0113
4/1/2014,0.0938,0.0134
5/1/2014,0.0966,0.004
6/1/2014,0.0916,0.0031
7/1/2014,0.0932,0.0045
8/1/2014,0.0954,0.0009
9/1/2014,0.0886,0.0014
10/1/2014,0.0896,0.019
11/1/2014,0.0915,0.0018
12/1/2014,0.0817,-0.0044
1/1/2015,0.0724,0.011
2/1/2015,0.0755,0.0071
3/1/2015,0.0761,0.0119
4/1/2015,0.0791,0.0163
5/1/2015,0.0809,0.0056
6/1/2015,0.072,-0.0051
7/1/2015,0.0681,0.0009
8/1/2015,0.0714,0.004
9/1/2015,0.0795,0.0089
10/1/2015,0.0758,0.0155
11/1/2015,0.081,0.0067
12/1/2015,0.0881,0.0021
1/1/2016,0.0958,0.0182
2/1/2016,0.0878,-0.0002
3/1/2016,0.0746,-0.0004
4/1/2016,0.0657,0.0078
5/1/2016,0.0658,0.0058
6/1/2016,0.0764,0.0047
7/1/2016,0.0879,0.0116
8/1/2016,0.0805,-0.0029
9/1/2016,0.0728,0.0018
10/1/2016,0.0716,0.0144
11/1/2016,0.07,0.0052
12/1/2016,0.0853,0.0164
1/1/2017,0.0922,0.0246
2/1/2017,0.1013,0.0081
3/1/2017,0.1129,0.0102
4/1/2017,0.1187,0.0131
5/1/2017,0.1172,0.0045
6/1/2017,0.109,-0.0027
7/1/2017,0.0979,0.0015
8/1/2017,0.1068,0.0052
9/1/2017,0.112,0.0065
10/1/2017,0.119,0.0208
11/1/2017,0.1298,0.0149
12/1/2017,0.1192,0.0069
1/1/2018,0.1035,0.0102
2/1/2018,0.1026,0.0073
3/1/2018,0.1023,0.0099
4/1/2018,0.1085,0.0187
5/1/2018,0.1215,0.0162
6/1/2018,0.1539,0.0261
7/1/2018,0.1585,0.0055
8/1/2018,0.179,0.023
9/1/2018,0.2452,0.063
10/1/2018,0.2524,0.0267
11/1/2018,0.2162,-0.0144
12/1/2018,0.203,-0.004
1/1/2019,0.2035,0.0106
2/1/2019,0.1967,0.0016
3/1/2019,0.1971,0.0103
4/1/2019,0.195,0.0169
5/1/2019,0.1871,0.0095
6/1/2019,0.1572,0.0003
7/1/2019,0.1665,0.0136
8/1/2019,0.1501,0.0086
9/1/2019,0.0926,0.0099
10/1/2019,0.0855,0.02
11/1/2019,0.1056,0.0038
12/1/2019,0.1184,0.0074
1/1/2020,0.1215,0.0135
2/1/2020,0.1237,0.0035
3/1/2020,0.1186,0.0057
4/1/2020,0.1094,0.0085
5/1/2020,0.1139,0.0136
6/1/2020,0.1262,0.0113
7/1/2020,0.1176,0.0058
8/1/2020,0.1177,0.0086
9/1/2020,0.1175,0.0097
10/1/2020,0.1189,0.0213
11/1/2020,0.1403,0.023
12/1/2020,0.146,0.0125
1/1/2021,0.1497,0.0168
2/1/2021,0.1561,0.0091
3/1/2021,0.1619,0.0108
4/1/2021,0.1714,0.0168
5/1/2021,0.1659,0.0089
6/1/2021,0.1753,0.0194
7/1/2021,0.1895,0.018
8/1/2021,0.1925,0.0112
9/1/2021,0.1958,0.0125
10/1/2021,0.1989,0.0239
11/1/2021,0.2131,0.0351
12/1/2021,0.3608,0.1358
1/1/2022,0.4869,0.111
2/1/2022,0.5444,0.0481
3/1/2022,0.6114,0.0546
4/1/2022,0.6997,0.0725
5/1/2022,0.735,0.0298
6/1/2022,0.7862,0.0495
7/1/2022,0.796,0.0237
8/1/2022,0.8021,0.0146
9/1/2022,0.8345,0.0308
10/1/2022,0.8551,0.0354
11/1/2022,0.8439,0.0288
12/1/2022,0.6427,0.0118
1/1/2023,0.5768,0.0665
2/1/2023,0.5518,0.0315
3/1/2023,0.5051,0.0229
4/1/2023,0.4368,0.0239
5/1/2023,0.3959,0.0004
6/1/2023,0.3821,0.0392
7/1/2023,0.4783,0.0949
8/1/2023,0.5894,0.0909
9/1/2023,0.6153,0.0475
10/1/2023,0.6136,0.0343
11/1/2023,0.6198,0.0328
12/1/2023,0.6477,0.0293
1/1/2024,0.6486,0.067
2/1/2024,0.6707,0.0453
3/1/2024,0.685,0.0316
4/1/2024,0.698,0.0318
5/1/2024,0.7545,0.0337
6/1/2024,0.716,0.0164
7/1/2024,0.6178,0.0323
8/1/2024,0.5197,0.0247
9/1/2024,0.4938,0.0297
10/1/2024,0.4858,0.0288
11/1/2024,0.4709,0.0224
12/1/2024,0.4438,0.0103
1/1/2025,0.4212,0.0503
2/1/2025,0.3905,0.0227
3/1/2025,0.381,0.0246
4/1/2025,0.3786,0.03
5/1/2025,0.3541,0.0153
6/1/2025,0.3505,0.0137
7/1/2025,0.3352,0.0206
8/1/2025,0.3295,0.0204
9/1/2025,0.3329,0.0323
10/1/2025,0.3287,0.0255
11/1/2025,0.3107,0.0087
12/1/2025,0.3089,0.0089
1/1/2026,0.3065,0.0484
2/1/2026,0.3153,0.0296
